name,desc,link
"प्रधानमंत्री जन धन योजना","गरीबों को बैंकिंग सुविधाएं और मुफ्त डेबिट कार्ड व बीमा प्रदान करती है".,"https://pmjdy.gov.in"
"मुद्रा लोन योजना","छोटे कारोबारों को बिना गारंटी ₹50 हज़ार–₹10 लाख लोन देती है.","https://www.mudra.org.in"
"सुकन्या समृद्धि योजना","बेटियों की शिक्षा और शादी के लिए बचत+उच्च ब्याज, टैक्स में छूट.","https://www.nsiindia.gov.in"
"प्रधानमंत्री मातृ वंदना योजना","गर्भवती महिलाओं को ₹5 000 का पोषण सहायता प्रदान करती है.","https://wcd.nic.in/schemes/pradhan-mantri-matru-vandana-yojana"
"राष्ट्रीय बालिका समृद्धि योजना","शैक्षिक जीवन शुरू से लड़कियों को आर्थिक सहायता देती है.","https://wcd.nic.in/schemes/national-scheme-incentive-girl-child-secondary-education"
"प्रधानमंत्री उज्ज्वला योजना","गरीब महिलाओं को मुफ्त LPG कनेक्शन प्रदान करती है.","https://www.pmuy.gov.in"
"प्रधानमंत्री कौशल विकास योजना (PMKVY)","युवाओं को निःशुल्क कौशल प्रशिक्षण और प्रमाण-पत्र देती है.","http://www.pmkvyofficial.org"
"Stand-Up India Scheme","महिला व SC/ST उद्यमियों को ₹10 लाख–₹1 करोड़ तक ऋण देती है.","https://www.standupmitra.in"
"Mahila Coir Yojana","महिला कारीगरों को सहायक उपकरण और 75% तक सब्सिडी देता है.","https://startupindia.gov.in/content/sih/en/women_entrepreneurs.html"
"Credit Guarantee Fund Trust for MSEs","महिला नेतृत्व वाली MSMEs को बिना कोलेटरल ₹5 करोड़ ऋण पे सुविधा.","https://www.cgtmse.in"
"बेटी बचाओ बेटी पढ़ाओ","लिंग अनुपात सुधार और बालिका शिक्षा पर केंद्रित अभियान.","https://wcd.nic.in"
"आयुष्मान भारत—प्रधानमंत्री जन आरोग्य योजना","गरीब परिवारों को 5 लाख तक अस्पताल खर्च कवरेज देती है.","https://pmjay.gov.in"
"प्रधानमंत्री जीवन ज्योति बीमा योजना","₹330 वार्षिक प्रीमियम पर ₹2 लाख जीवन बीमा देता है.","https://jansuraksha.gov.in"
"प्रधानमंत्री सुरक्षा बीमा योजना",₹12 वार्षिक प्रीमियम पर ₹2 लाख दुर्घटना बीमा कवरेज.","https://jansuraksha.gov.in"
"राष्ट्रीय पेंशन योजना (NPS)","रिटायरमेंट के बाद नियमित पेंशन व आर्थिक सुरक्षा देती है.","https://enps.nsdl.com"
"LIC जीवन बीमा पॉलिसी","परिवार को जीवन सुरक्षा देने वाली भरोसेमंद योजना.","https://licindia.in"
"आंगनवाड़ी लाभ योजना","बच्चों और माताओं को पोषण व स्वास्थ्य सेवाएं उपलब्ध कराती है.","https://icds-wcd.nic.in"



